original_size,compressed_size,compression_ratio,PSNR,SSIM,iteration,quality
6212162,845023,7.351470906709048,37.71180309131876,0.9807458799058586,1,90
6212162,813880,7.632773873298275,37.34766098239639,0.9781192861424188,2,89
6212162,802836,7.737772097912899,37.102681487274076,0.9760915656004101,3,88
6212162,786624,7.8972444268163695,36.80487393881266,0.973326564059504,4,87
6212162,780989,7.954224707390245,36.54182598431305,0.9707982676399356,5,86
6212162,769648,8.071432654927968,36.23000133332499,0.9660160249647018,6,85
6212162,764428,8.126549524611868,35.92525015283237,0.9628098303747828,7,84
6212162,759491,8.179375397470148,35.64645293425836,0.958381908723258,8,83
6212162,751630,8.264920240011708,35.31072527671468,0.9521328663521026,9,82
6212162,746544,8.321226880130308,35.05590383629018,0.9483824434467159,10,81
6212162,743243,8.358184335405783,34.682282432769156,0.9396655293539188,11,80
6212162,737214,8.426538291459467,34.37049161178729,0.9339755558389224,12,79
6212162,736451,8.4352686057864,34.13326281650046,0.9277943153240934,13,78
6212162,730773,8.500809416877745,33.901791721024814,0.9224734120037917,14,77
6212162,727484,8.5392421001699,33.5186265526735,0.9105576491582723,15,76
6212162,724238,8.577514573938402,33.2826883878941,0.9027582955260103,16,75
6212162,724216,8.577775138908834,33.19667761640346,0.8999659141545814,17,74
6212162,721758,8.606987383582863,32.86055041607853,0.8867947119857305,18,73
6212162,718434,8.646809588633054,32.670679581256906,0.8798898580101658,19,72
6212162,718078,8.651096398998437,32.51485275724661,0.8723735722256886,20,71
6212162,715344,8.684160348028362,32.29250308984028,0.8645921924019445,21,70
6212162,714629,8.692849016762544,32.0682723378436,0.8512253128415077,22,69
6212162,713328,8.708703429558351,31.914227534532532,0.8449559068401467,23,68
6212162,711483,8.731286622449167,31.730789505806392,0.8334923946401863,24,67
6212162,710834,8.739258392254731,31.595766098891676,0.8246817028200921,25,66
6212162,709755,8.752544187783108,31.448356283828748,0.8175189760787317,26,65
6212162,708149,8.772393945342012,31.29910539101841,0.805040600215368,27,64
6212162,707712,8.777810747874842,31.181381559643185,0.798103559926975,28,63
6212162,706937,8.78743367513654,31.03743881688058,0.7880585255690977,29,62
6212162,706272,8.795707602736623,30.955314916063767,0.7803594220672105,30,61
6212162,704514,8.817655859216424,30.805814157651845,0.7677386668879451,31,60
6212162,704289,8.82047284566421,30.699604204669715,0.7598128011206862,32,59
6212162,704048,8.823492148262618,30.635035704808313,0.7533442606551235,33,58
6212162,702853,8.838493966732731,30.510956753267987,0.7414930466282049,34,57
6212162,701772,8.852108662072583,30.409668192819346,0.7326356393053017,35,56
6212162,701507,8.855452618434313,30.325661611593375,0.721976410244215,36,55
6212162,700754,8.864968305568002,30.211715967325627,0.7131976401687459,37,54
6212162,700735,8.865208673749706,30.155469579368575,0.7053745469026036,38,53
6212162,699538,8.88037819246417,30.09880808384083,0.6978649641291967,39,52
6212162,698412,8.894695394695395,29.947571661118598,0.6815068029104073,40,51
6212162,698448,8.894236936751197,29.92704396460294,0.6784178582081006,41,50
6212162,698393,8.894937377665583,29.90566867626558,0.6747224331018967,42,49
6212162,697497,8.906363754969556,29.77107281078819,0.6588018322697957,43,48
6212162,696525,8.918792577437996,29.727892597535792,0.6517672996767445,44,47
6212162,696486,8.919291988640117,29.690288013171397,0.6448549172566759,45,46
6212162,695795,8.928149814241264,29.57216232779881,0.631346065566034,46,45
6212162,695341,8.933979155551018,29.53658273099694,0.6240125880421777,47,44
6212162,694172,8.949024161158906,29.416593620776897,0.6095742672047045,48,43
6212162,694075,8.950274826207542,29.373234953263246,0.5997330792858897,49,42
6212162,693667,8.955539185228647,29.29994845766273,0.5920374559648065,50,41
6212162,692452,8.971252881066125,29.20982052296067,0.5744041445456138,51,40
6212162,692349,8.972587524499927,29.15273661597165,0.5685069479138685,52,39
6212162,691386,8.98508503209495,29.094901430721777,0.5567388857379483,53,38
6212162,690435,8.99746102095056,29.001979168514858,0.5394977726758013,54,37
6212162,690097,9.001867853359744,28.969776332932117,0.5326911589180097,55,36
6212162,689308,9.01217162719713,28.87747638311145,0.5177677667807037,56,35
6212162,688288,9.025527104932818,28.79435468583268,0.501674504826229,57,34
6212162,687877,9.030919771994121,28.73017366188582,0.4921188719354516,58,33
6212162,686805,9.045015688587007,28.642803933961254,0.47698602398195794,59,32
6212162,685912,9.056791541772123,28.597975973791065,0.462958952690961,60,31
6212162,684966,9.069299790062573,28.526345315836306,0.449792626512864,61,30
6212162,683931,9.08302445714553,28.45862661777627,0.4348269458171269,62,29
6212162,683075,9.094406909929363,28.412862168727564,0.4229565649075962,63,28
6212162,681196,9.119492774473132,28.366745717678082,0.4062852789186592,64,27
6212162,679705,9.139497281909064,28.33351504876741,0.3895691918477119,65,26
6212162,678435,9.156606012366696,28.28491079774722,0.3747478256475714,66,25
6212162,677277,9.172261866267421,28.23803369676579,0.3604590636120065,67,24
6212162,675143,9.201253660335663,28.204760654765806,0.34373167636735474,68,23
6212162,673196,9.227865287375446,28.154592889876113,0.32714997838364623,69,22
6212162,671050,9.257375754414722,28.118548203184236,0.3119848241783809,70,21
6212162,668347,9.294815417739587,28.10106503001402,0.2930003704638611,71,20
6212162,666387,9.32215364345343,28.060856425361166,0.2786517712625729,72,19
6212162,664480,9.348907416325547,28.02777292125672,0.26473877055090095,73,18
6212162,661017,9.397885379649843,28.009200240284446,0.2463055342117166,74,17
6212162,658088,9.439713229841601,27.978770122533025,0.23074085322830895,75,16
6212162,653894,9.500258451675654,27.965728272204164,0.2136615127570733,76,15
6212162,649507,9.564426557373515,27.94779230147309,0.1983277950565673,77,14
6212162,645204,9.628213712252249,27.928367767196058,0.18471805291979315,78,13
6212162,637302,9.747595331569649,27.929378841217112,0.16771239319461723,79,12
6212162,631242,9.841173432693008,27.912980621542502,0.1547968016398704,80,11
6212162,622668,9.976684204102346,27.906077704726403,0.1411384462842962,81,10
6212162,613720,10.12214364856938,27.896720016336126,0.12941093918511315,82,9
6212162,603742,10.289431578389445,27.891261234159288,0.11795278732683594,83,8
6212162,591796,10.497134147577881,27.88454117957304,0.10815578500448784,84,7
6212162,577007,10.766181346153513,27.881286792844687,0.09939179303686585,85,6
6212162,558075,11.13141065269005,27.876718501704314,0.0908313355168075,86,5
6212162,535515,11.600351063929114,27.873748939999526,0.08342822336529705,87,4
6212162,511576,12.143184981312649,27.86790077971311,0.07744088623564165,88,3
6212162,497987,12.47454652430686,27.8704626248039,0.07369458237900353,89,2
6212162,496020,12.524015160679005,27.870389668022572,0.07353570028938522,90,1
6212162,495738,12.531139432522824,27.870343955261987,0.07351321309809628,91,1
6212162,495706,12.531948372624095,27.87029854528077,0.07351236025399131,92,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,93,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,94,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,95,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,96,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,97,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,98,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,99,1
6212162,495755,12.53070972557009,27.870312561539272,0.07351267212767416,100,1
